what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187831878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187836478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187836815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187837966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1735187837971
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735187844822
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735187844923
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1735187873527
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735187917776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187922667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187946606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187956705
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735187976759
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735187976859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187976911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1735187976957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735187981299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735187987425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188005440
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735188006538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1735188008073
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1735188016061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1735188020089
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735188031552
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1735188034620
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1735188034683
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1735188034703
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1735188034755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188034946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188042173
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1735188042597
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1735188042756
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1735188042999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735188049170
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735188049452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188084185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188118144
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735188121958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188126972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188139991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1735188144342
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1735188147351
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1735188147581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188152560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188155823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188159320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188170417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188171078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188235219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735188237844
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1735188238160
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1735188273739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188277587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188308810
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1735188309311
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1735188309506
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1735188326521
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1735188326525
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1735188326527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188328825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188328875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188414373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188435107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1735188437701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188448217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1735188451005
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1735188451125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1735188455947
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1735188456167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1735188459333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1735188473244
